2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  4,19; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 905.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  5,19; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 904.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  6,19; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 903.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  6,18; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 902.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  7,18; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 901.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  7,18; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 901.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  6,18; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 900.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  5,18; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 899.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  4,18; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 898.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  3,18; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 897.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,17; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 896.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,16; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 895.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  3,15; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 894.0; Tile: ROAD
